,names,speed,lattitude,Longitude,fc,le,qd,cn,ff,jf,sp,ty
0,Brown Road,17.0,"[30.90879, 30.90871, 30.9086]","[75.86399, 75.86401, 75.86401]",3,0.02126,+,0.7,24.0,3.88888,17.0,TR
1,Janakpuri Road,18.31,"[30.9086, 30.90848, 30.90782]","[75.86401, 75.864, 75.86386]",3,0.84554,+,0.74,25.0,3.56698,18.31,TR
2,Janakpuri Road,18.31,"[30.90782, 30.90761]","[75.86386, 75.86383]",3,0.84554,+,0.74,25.0,3.56698,18.31,TR
3,Janakpuri Road,18.31,"[30.90761, 30.90742]","[75.86383, 75.8638]",3,0.84554,+,0.74,25.0,3.56698,18.31,TR
4,Janakpuri Road,18.31,"[30.90742, 30.90728, 30.90717]","[75.8638, 75.86378, 75.86377]",3,0.84554,+,0.74,25.0,3.56698,18.31,TR
5,Janakpuri Road,18.31,"[30.90717, 30.90706, 30.90692, 30.90685]","[75.86377, 75.86377, 75.86379, 75.86381]",3,0.84554,+,0.74,25.0,3.56698,18.31,TR
6,Janakpuri Road,18.31,"[30.90685, 30.90674, 30.90661]","[75.86381, 75.86386, 75.86394]",3,0.84554,+,0.74,25.0,3.56698,18.31,TR
7,Janakpuri Road,18.31,"[30.90661, 30.90653]","[75.86394, 75.86398]",3,0.84554,+,0.74,25.0,3.56698,18.31,TR
8,Janakpuri Road,18.31,"[30.90653, 30.90634, 30.90624]","[75.86398, 75.8641, 75.86415]",3,0.84554,+,0.74,25.0,3.56698,18.31,TR
9,Janakpuri Road,18.31,"[30.90624, 30.90596]","[75.86415, 75.86425]",3,0.84554,+,0.74,25.0,3.56698,18.31,TR
10,Janakpuri Road,18.31,"[30.90596, 30.90588]","[75.86425, 75.86428]",3,0.84554,+,0.74,25.0,3.56698,18.31,TR
11,Janakpuri Road,18.31,"[30.90588, 30.90558]","[75.86428, 75.86447]",3,0.84554,+,0.74,25.0,3.56698,18.31,TR
12,Janakpuri Road,18.31,"[30.90558, 30.90531]","[75.86447, 75.8646]",3,0.84554,+,0.74,25.0,3.56698,18.31,TR
13,Janakpuri Road,18.31,"[30.90531, 30.90508]","[75.8646, 75.8647]",3,0.84554,+,0.74,25.0,3.56698,18.31,TR
14,Janakpuri Road,18.31,"[30.90508, 30.90492]","[75.8647, 75.86477]",3,0.84554,+,0.74,25.0,3.56698,18.31,TR
15,Janakpuri Road,18.31,"[30.90492, 30.90459]","[75.86477, 75.86495]",3,0.84554,+,0.74,25.0,3.56698,18.31,TR
16,Janakpuri Road,18.31,"[30.90459, 30.90415]","[75.86495, 75.86516]",3,0.84554,+,0.74,25.0,3.56698,18.31,TR
17,Janakpuri Road,18.31,"[30.90415, 30.90398]","[75.86516, 75.86524]",3,0.84554,+,0.74,25.0,3.56698,18.31,TR
